Neighborhood Name,Districte Name,Price (Euro/Month)
el Raval,Ciutat Vella,827.3
el Barri Gòtic,Ciutat Vella,1041
la Barceloneta,Ciutat Vella,856.5
"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,895.8
el Fort Pienc,Eixample,999.9
la Sagrada Família,Eixample,943.5
la Dreta de l'Eixample,Eixample,1249.4
l'Antiga Esquerra de l'Eixample,Eixample,1159
la Nova Esquerra de l'Eixample,Eixample,1029.5
Sant Antoni,Eixample,986.1
el Poble Sec,Sants-Montjuïc,847.3
la Marina del Prat Vermell,Sants-Montjuïc,N/A
la Marina de Port,Sants-Montjuïc,672.9
la Font de la Guatlla,Sants-Montjuïc,825.5
Hostafrancs,Sants-Montjuïc,856.8
la Bordeta,Sants-Montjuïc,893.6
Sants - Badal,Sants-Montjuïc,840.4
Sants,Sants-Montjuïc,874.3
les Corts,Les Corts,1096.6
la Maternitat i Sant Ramon,Les Corts,931.3
Pedralbes,Les Corts,1822.7
"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,1078.1
Sarrià,Sarrià-Sant Gervasi,1416.7
les Tres Torres,Sarrià-Sant Gervasi,1679.1
Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,1259.2
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,1299.3
el Putxet i el Farró,Sarrià-Sant Gervasi,1073.3
Vallcarca i els Penitents,Gràcia,1043.6
el Coll,Gràcia,910.3
la Salut,Gràcia,998.5
la Vila de Gràcia,Gràcia,948.3
el Camp d'en Grassot i Gràcia Nova,Gràcia,968.7
el Baix Guinardó,Horta-Guinardó,899
Can Baró,Horta-Guinardó,739.3
el Guinardó,Horta-Guinardó,860.4
la Font d'en Fargues,Horta-Guinardó,997.3
el Carmel,Horta-Guinardó,682.8
la Teixonera,Horta-Guinardó,669.9
Sant Genís dels Agudells,Horta-Guinardó,791.3
Montbau,Horta-Guinardó,758.9
la Vall d'Hebron,Horta-Guinardó,879.2
la Clota,Horta-Guinardó,N/A
Horta,Horta-Guinardó,748.6
Vilapicina i la Torre Llobeta,Nou Barris,795
Porta,Nou Barris,674.5
el Turó de la Peira,Nou Barris,721.3
Can Peguera,Nou Barris,N/A
la Guineueta,Nou Barris,642.2
Canyelles,Nou Barris,N/A
les Roquetes,Nou Barris,582.5
Verdun,Nou Barris,577.3
la Prosperitat,Nou Barris,707.8
la Trinitat Nova,Nou Barris,522.4
Torre Baró,Nou Barris,N/A
Ciutat Meridiana,Nou Barris,467.8
Vallbona,Nou Barris,N/A
la Trinitat Vella,Sant Andreu,658.7
Baró de Viver,Sant Andreu,N/A
el Bon Pastor,Sant Andreu,727.4
Sant Andreu,Sant Andreu,835.3
la Sagrera,Sant Andreu,765.4
el Congrés i els Indians,Sant Andreu,788.2
Navas,Sant Andreu,898.5
el Camp de l'Arpa del Clot,Sant Martí,849.7
el Clot,Sant Martí,890.9
el Parc i la Llacuna del Poblenou,Sant Martí,956.5
la Vila Olímpica del Poblenou,Sant Martí,1446.1
el Poblenou,Sant Martí,987.1
Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,840.9
el Besòs i el Maresme,Sant Martí,665.3
Provençals del Poblenou,Sant Martí,1044.5
Sant Martí de Provençals,Sant Martí,854.3
la Verneda i la Pau,Sant Martí,755.4
